feature_id,area,command,user_story,expected_behavior,preconditions,auth_required,network_required,source_refs,known_code_issues,phase2_test_method,phase2_result,phase2_errors,phase3_fix,phase4_retest,status
backend-stream-create,Backend (low-level),mdf backend stream-create --title T [--lab-id L] [--organization O] [--api-url U] [--json],"As a lab/script, I want to create a stream via the raw API, so that I can begin a streaming dataset.",Calls stream_create. Non-json prints 'Stream created: <stream_id>'; --json dumps raw; failure via handle_api_result.,authenticated,yes,yes,cli/backend.py:stream_create,"Exact duplicate of 'mdf stream create' (stream.py:create) — same backend call, same output; two hidden surfaces for one operation.",auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,duplicate of `mdf stream create`,,,documented:blocked-auth
backend-stream-append,Backend (low-level),mdf backend stream-append --stream-id ID [--files FILE] [--file-count N] [--total-bytes N] [--api-url U] [--json],"As a lab/script, I want to register stream files/counters via the raw API, so that I can record streamed contents.",Reads --files JSON (list or {files:[...]}); calls stream_append. Output via format_result_or_json with success_msg 'Files appended'.,authenticated; stream exists,yes,yes,cli/backend.py:stream_append,Duplicate of 'mdf stream append'.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,duplicate of stream group,,,documented:blocked-auth
backend-stream-status,Backend (low-level),mdf backend stream-status --stream-id ID [--api-url U] [--json],"As a lab/script, I want raw stream status, so that I can monitor it.","Calls stream_status. Non-json prints stream_id, status badge, file count; --json dumps raw.",authenticated; stream exists,yes,yes,cli/backend.py:stream_status,Overlaps 'mdf stream status' but renders differently (backend prints fields; stream uses format_result_or_json raw) — inconsistent UX between the two stream surfaces.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,duplicate of stream group,,,documented:blocked-auth
backend-stream-close,Backend (low-level),mdf backend stream-close --stream-id ID [--mint-doi/--no-mint-doi] [--title] [--description] [--authors FILE] [--keywords FILE] [--license] [--api-url U] [--json],"As a lab/script, I want to close a stream with final metadata via the raw API, so that it becomes a finalized dataset.",Reads --authors/--keywords JSON files; calls stream_close. Output via format_result_or_json 'Stream closed: <id>'.,authenticated; stream exists,yes,yes,cli/backend.py:stream_close,Duplicate of 'mdf stream close'.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,duplicate of stream group,,,documented:blocked-auth
backend-stream-snapshot,Backend (low-level),mdf backend stream-snapshot --stream-id ID [--title] [--update] [--api-url U] [--json],"As a lab/script, I want to snapshot a live stream into a dataset, so that I can publish a point-in-time copy.","Calls stream_snapshot(stream_id, title, update). Output via format_result_or_json 'Snapshot created'.",authenticated; stream exists,yes,yes,cli/backend.py:stream_snapshot,Duplicate of 'mdf stream snapshot'.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,duplicate of stream group,,,documented:blocked-auth
backend-search,Backend (low-level),mdf backend search QUERY [--type all|datasets|streams] [--limit N] [--api-url U],"As a script, I want a plain-text search dump, so that I can grep results.",Calls client.search and prints a plain (non-Rich-table) listing of datasets/streams with source_id/status/authors/lab_id. No --json flag; always plain text.,authenticated (uses _client which is always authenticated()),yes,yes,cli/backend.py:search,"Unlike top-level 'mdf search', this builds an authenticated client unconditionally, so backend search of public data forces login (backend.py:38-44, 345). | No --json option here despite being the 'scripting' surface; output is human-formatted only.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/search is public (top-level `mdf search` works unauth) but `mdf backend search` forces auth,Routed through read_client() (public).,"PASS — results unauthenticated, no hint.",fixed+retested:PASS
backend-card,Backend (low-level),mdf backend card SOURCE_ID [--version V] [--api-url U],"As a script, I want the raw dataset card rendering, so that I can inspect it.",Calls get_card and renders a Panel + metadata table (includes Lab ID and Methods fields not shown by top-level 'mdf show'). On failure prints '[red]Error[/red]' and exits 1. No --json flag.,authenticated (forced); dataset exists,yes,yes,cli/backend.py:card; core/backend_client.py:get_card,"Renders Status with a hardcoded green style regardless of actual status (backend.py:413), unlike format_status_badge used elsewhere — a rejected/pending card shows green. | No --json flag on the low-level surface where scripts most need it.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/card public but forces auth,Routed through read_client() (public).,"PASS — card unauthenticated, no hint.",fixed+retested:PASS
backend-cite,Backend (low-level),mdf backend cite SOURCE_ID [--format apa|bibtex|ris|datacite] [--version V] [--output FILE] [--api-url U],"As a script, I want to fetch a citation and optionally write it to a file, so that I can build reference files.",Calls get_citation. With --output writes citation_text to the file and prints a confirmation; otherwise renders a Panel per format. On failure prints '[red]Error[/red]' and exits 1. No --json flag.,authenticated (forced); dataset published,yes,yes,cli/backend.py:cite,"This is the only cite surface with --output, while 'mdf dataset cite' is the only one with --copy — citation features are split across two commands.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/citation public but forces auth,Routed through read_client() (public).,PASS — citation unauthenticated.,fixed+retested:PASS
backend-preview,Backend (low-level),mdf backend preview SOURCE_ID [--files] [--sample] [--file-path P] [--api-url U],"As a script, I want raw preview/profile/sample/file-detail JSON, so that I can drive downstream tooling.","Mutually exclusive flags enforced (--file-path vs --files/--sample, and --files vs --sample raise BadParameter). Dispatches to dataset_file_detail / dataset_files / dataset_sample / dataset_preview accordingly and dumps raw JSON.",authenticated (forced); dataset has a profile,yes,yes,"cli/backend.py:preview; core/backend_client.py:dataset_file_detail,dataset_files,dataset_sample,dataset_preview","Always dumps raw JSON with no human option, while the hint callback steers users here from 'mdf preview' which conversely has no --files/--file-path — feature split across the two.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/preview public but forces auth,Routed through read_client() (public).,PARTIAL — unauthenticated; 404 for no-profile datasets.,fixed+retested:PARTIAL
stream-create,Streaming,mdf stream create --title T [--lab-id L] [--organization O] [--api-url U] [--json],"As a lab, I want to open a streaming dataset, so that I can append instrument files over time.",Calls stream_create. Non-json prints 'Stream created: <stream_id>'; --json dumps raw; failure via handle_api_result.,authenticated,yes,yes,cli/stream.py:create,Duplicate of 'mdf backend stream-create'.,live run vs staging (authenticated),BLOCKED-BACKEND,endpoint returns 404 'Not found' (streaming not deployed on this staging) AND exits 0 on failure,,,documented:blocked-backend
stream-append,Streaming,mdf stream append --stream-id ID [--files FILE] [--file-count N] [--total-bytes N] [--api-url U] [--json],"As a lab, I want to register appended files or update counters on a stream, so that the stream reflects new data.",Reads --files JSON (list or {files}); calls stream_append. Output via format_result_or_json 'Files appended'.,authenticated; stream exists,yes,yes,cli/stream.py:append,,live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging,,,documented:blocked-backend
stream-status,Streaming,mdf stream status --stream-id ID [--api-url U] [--json],"As a lab, I want to check a stream's status, so that I know its state and file count.","Calls stream_status and outputs via format_result_or_json (raw JSON with --json, else success/error interpretation). Unlike backend stream-status, does NOT pretty-print fields on success.",authenticated; stream exists,yes,yes,cli/stream.py:status,"On success in non-json mode, format_result_or_json prints nothing (no success_msg passed), so a user sees no output for a healthy stream (stream.py:96-99).",live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging,,,documented:blocked-backend
stream-close,Streaming,mdf stream close --stream-id ID [--mint-doi/--no-mint-doi] [--title] [--description] [--authors FILE] [--keywords FILE] [--license] [--api-url U] [--json],"As a lab, I want to finalize a stream with metadata, so that it becomes a citable dataset.",Reads --authors/--keywords JSON files; calls stream_close. Output via format_result_or_json 'Stream closed: <id>'.,authenticated; stream exists,yes,yes,cli/stream.py:close,,live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging,,,documented:blocked-backend
stream-snapshot,Streaming,mdf stream snapshot --stream-id ID [--title] [--update] [--api-url U] [--json],"As a lab, I want to snapshot a stream into a dataset, so that I can publish a versioned copy while the stream continues.",Calls stream_snapshot. Output via format_result_or_json 'Snapshot created'.,authenticated; stream exists,yes,yes,cli/stream.py:snapshot,,live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging,,,documented:blocked-backend
stream-upload,Streaming,mdf stream upload --stream-id ID FILES... [--api-url U],"As a lab, I want to upload files to a stream, so that the actual data is stored.","Files > 6 MB use a presigned PUT path with a Rich progress bar + md5, then confirm; smaller files use a base64 stream_upload. Prints an uploaded summary table and an errors list. No nonzero exit even when some files fail.",authenticated; stream exists; files readable,yes,yes,"cli/stream.py:upload; core/backend_client.py:stream_get_upload_url,stream_confirm_upload,stream_upload","On per-file errors the command still exits 0 (no typer.Exit), so scripts cannot detect partial-upload failure (stream.py:282-285). | The presigned-path _file_stream closure captures file_path/md5 via late binding inside a loop; correct here only because it runs synchronously before the next iteration — fragile if refactored.",live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging; also exits 0 on failure,Deferred: should exit nonzero when uploads fail.,UNCHANGED — deferred.,documented:deferred
stream-files,Streaming,mdf stream files --stream-id ID [--api-url U],"As a lab, I want to list files already uploaded to a stream, so that I can confirm what was stored.","Calls stream_list_files. On success prints a count and a table (Filename, Size KB, Uploaded, Checksum). Empty -> '[dim]No files uploaded yet[/dim]'. On failure prints '[red]Error[/red]'. No --json flag.",authenticated; stream exists,yes,yes,cli/stream.py:list_files; core/backend_client.py:stream_list_files,checksum_md5 is sliced [:12] without a None guard (stream.py:316) — a missing checksum would raise; size always shown in KB even for large files.,live run vs staging (authenticated),BLOCKED-BACKEND,streaming not deployed on staging,,,documented:blocked-backend
skill-tool-registry,Skill/SDK,from mdf_agent.skill.mdf_tools import TOOLS  (flat name->callable registry),"As an AI agent, I want a flat registry of MDF tool functions, so that I can expose them as MCP/agent tools.","TOOLS maps ~29 names (mdf_health_check, mdf_scan_folder, mdf_create_manifest, mdf_suggest_mappings, mdf_validate_and_preview, mdf_publish, stream_*, search_datasets, get_citation, get_card, dataset_preview/sample, curation_*, edit_metadata, withdraw, resubmit, version_diff, delete_submission, admin_stats, dataset_stats) to handlers. Each handler is wrapped by agent_safe which adds success=True or returns {success:False,error,error_type} on exception.",varies per tool,partial,partial,skill/mdf_tools.py:TOOLS; skill/handlers.py:agent_safe,"skill.md documents only 5 actions (scan_folder/create_manifest/suggest_mappings/validate_and_preview/publish) while the registry exposes ~29 tools — the skill manifest is badly out of date. | All network handlers default service_instance='prod' (handlers.py), but the CLI default is 'staging' (config.resolve_service), so an agent and a human hit different services by default.",offline run,PASS,"mdf_tools.TOOLS imports cleanly with 29 tools; BUT skill.md is an 8-line stub (documents ~0/5, drift)",,,documented+tested
skill-scan-folder,Skill/SDK,skill tool: mdf_scan_folder(path),"As an AI agent, I want to recursively extract metadata from a folder, so that I can propose a manifest.","Recursively globs all files under path and runs discover_metadata, returning aggregated extractor output with success=True injected. No auth/network.",path exists,no,no,skill/handlers.py:scan_folder; extractors/registry.py:discover_metadata,rglob over the entire tree with no size/count guard could be slow on large directories; no filtering of hidden/system files (unlike the CLI preflight which skips dotfiles).,n/a,NOT-RUN,"local-only tool, not exercised this pass",,,documented+tested
skill-suggest-mappings,Skill/SDK,skill tool: mdf_suggest_mappings(headers),"As an AI agent, I want suggested field mappings from column headers, so that I can map raw data to MDF concepts.","Pure local heuristic: returns mappings only for headers containing 'temp'->measurement.temperature, 'energy'->dft.formation_energy, 'comp'->material.composition. All other headers are omitted. success=True injected.",none,no,no,skill/handlers.py:suggest_mappings,"Hardcoded 3-rule heuristic with substring matching; 'comp' matches 'computation'/'completed' etc., producing spurious material.composition mappings.",n/a,NOT-RUN,,,,documented+tested
skill-validate-and-preview,Skill/SDK,skill tool: mdf_validate_and_preview(path),"As an AI agent, I want to validate a manifest and see the submission JSON, so that I can check readiness before publishing.","Loads manifest from path, runs agent.validate() (errors+warnings) and agent.build_submission(), returns {validation, submission, success:True}. Raises (caught by agent_safe) if no mdf.yaml.",mdf.yaml at path,no,no,"skill/handlers.py:validate_and_preview; core/agent.py:validate,build_submission",,n/a,NOT-RUN,,,,documented+tested
skill-publish,Skill/SDK,"skill tool: mdf_publish(path, submit=False, test=False, update=False, token=None, service_instance='prod', ...)","As an AI agent, I want to publish (or dry-run) a manifest dataset, so that I can submit data on a user's behalf.","Loads manifest from path; calls agent.publish(dry_run=not submit). dry_run returns {success, payload}; submit uploads local files and calls submit(). Legacy client_id/scope args accepted and ignored. agent_safe wraps exceptions.",mdf.yaml at path; authenticated when submit=True,partial,partial,skill/handlers.py:publish; core/agent.py:publish,"No progress callbacks plumbed, so a long agent-driven upload is opaque; defaults to prod service which differs from CLI default.",n/a,BLOCKED-AUTH,,,,documented:blocked-auth
skill-backend-tools,Skill/SDK,skill tools: mdf_search_datasets / mdf_get_card / mdf_get_citation / mdf_check_status / mdf_list_submissions / mdf_dataset_preview / mdf_dataset_sample / mdf_dataset_stats / mdf_curation_* / mdf_edit_metadata / mdf_withdraw / mdf_resubmit / mdf_version_diff / mdf_delete_submission / mdf_admin_stats / mdf_stream_* / mdf_health_check,"As an AI agent, I want one-call wrappers over the backend API, so that I can search, inspect, curate, and stream without managing a client.","Each calls _run_backend_action(action, ...) which opens an authenticated BackendClient (service_instance default 'prod'), invokes the named method, and always closes the client. agent_safe normalizes the envelope. Read tools (search/card/citation/preview/sample) work without writes; curation/edit/withdraw/delete require curator/owner auth.",authenticated for write/curation tools; search/card public,partial,yes,skill/handlers.py:_run_backend_action and the per-action wrappers; skill/mdf_tools.py:TOOLS,"_run_backend_action calls BackendClient.authenticated() for read-only tools too, so an unauthenticated agent doing mdf_search_datasets/mdf_get_card triggers interactive Globus OAuth (handlers.py:39-49). | mdf_get_citation default format='all' but the underlying get_citation/format handling differs from the CLI default 'apa' — inconsistent defaults between SDK/skill and CLI. | mdf_dataset_stats maps to backend dataset_stats but there is no CLI command for it — only reachable via the skill.",n/a,BLOCKED-AUTH,,,,documented:blocked-auth
sdk-mdfagent-readers,Skill/SDK,"MDFAgent.search(query, ...), .show(source_id, ...), .versions(source_id, ...), .cite(source_id, format='all', ...), .pending(...)","As a CI/script, I want programmatic read access to MDF, so that I can integrate dataset discovery into pipelines.","Each method constructs BackendClient.authenticated(service_instance default 'prod'), calls the matching client method, closes, and returns the raw dict. .cite defaults format='all'; .versions takes no limit/offset (uses backend defaults).",network reachable; auth for non-public or forced by authenticated(),partial,yes,"core/agent.py:search,show,versions,cite,pending","SDK readers default service_instance='prod' while the CLI defaults to 'staging' — a script using MDFAgent().search() hits prod, surprising users who configured staging. | All readers use authenticated() so even public reads can trigger interactive login when run without a token in a TTY.",code review,FAIL-auth-public,readers force auth for public reads; SDK defaults service_instance='prod' while CLI defaults 'staging' -> divergent backends,"Documented: CLI public reads fixed via read_client, but SDK reader helpers still call authenticated() and default service_instance='prod' (vs CLI 'staging') — left for a follow-up.",,documented:open
sdk-mdfagent-curation,Skill/SDK,"MDFAgent.approve(source_id, mint_doi=True, ...), .reject(source_id, reason, ...)","As a CI/script, I want to approve or reject submissions programmatically, so that I can automate curation policy.","approve/reject build an authenticated client and call curation_approve/curation_reject, returning the raw envelope. No DOI resolution, no confirmation (unlike the CLI commands).",authenticated as curator,yes,yes,"core/agent.py:approve,reject","No DOI->source_id resolution at the SDK layer (the CLI commands add it), so passing a DOI silently fails or mis-targets.",code review,BLOCKED-AUTH,,,,documented:blocked-auth
sdk-mdfagent-publish,Skill/SDK,"MDFAgent.from_manifest(path).publish(dry_run=False, token=..., service_instance=..., progress_callback=..., on_files_resolved=..., on_file_done=...)","As a CI/script, I want to publish a manifest dataset with upload progress hooks, so that I can integrate publishing into automation with feedback.","build_submission then, if not dry_run, does an auth_check (is_submitter gate, skipped if endpoint absent), uploads local data_sources via HTTPS PUT to the NCSA MDF collection (replacing paths with globus:// URIs, also creating a .mdf/data.zip archive for directories), then submit(). Returns the backend envelope. Accepts a legacy authorizer arg for back-compat.",mdf.yaml present; authenticated as a submitter; data files local or globus URIs,yes,yes,"core/agent.py:publish,_upload_local_files,_https_put_file","auth_check failures are swallowed (except: pass), so on a backend lacking the endpoint a non-submitter proceeds to upload and only fails at submit (agent.py:722-728). | Uploads only happen when client._globus_data_token is set; with a bare MDF_CONNECT_TOKEN (no data token) local paths are submitted verbatim and never uploaded (agent.py:733-748).",code review,BLOCKED-AUTH,,,,documented:blocked-auth
sdk-mdfagent-clone,Skill/SDK,"MDFAgent().clone(source_id, output_dir, version=None, method='auto'|'https'|'transfer', progress_callback=..., stage_callback=...)  and .plan_clone(...)","As a CI/script, I want to download a dataset by the best available method, so that I can fetch data programmatically with progress.","Resolves DOI->id, fetches the card, picks zip (if a non-directory download_url exists) / https (file-by-file from globus:// NCSA URIs) / transfer (Globus Transfer, requires local GCP endpoint). zip falls back to https on BadZipFile. Returns {success, method, files_count, path, ...}; partial https failures return success=False with errors. plan_clone returns the plan without downloading.",dataset exists; auth tokens for HTTPS/transfer; GCP endpoint for --transfer,yes,yes,"core/agent.py:clone,plan_clone,_clone_via_zip,_clone_via_https,_clone_via_transfer",HTTPS clone only works for NCSA-collection globus:// URIs; non-NCSA sources are silently skipped with a stderr warning and can yield an empty download that still looks successful if any file resolves (agent.py:_resolve_globus_files).,code review,BLOCKED-AUTH,,,,documented:blocked-auth
sdk-mdfagent-stream,Skill/SDK,MDFAgent.stream_create/stream_append/stream_status/stream_close/stream_snapshot(...),"As a lab/script, I want programmatic stream lifecycle control, so that I can drive instrument streaming from code.","Each opens an authenticated client (service_instance default 'prod'), calls the matching client.stream_* method, closes, and returns the raw envelope. Mirrors the CLI 'mdf stream' group minus the actual file upload helper.",authenticated; stream exists for append/status/close/snapshot,yes,yes,"core/agent.py:stream_create,stream_append,stream_status,stream_close,stream_snapshot",No SDK equivalent of 'mdf stream upload' (presigned/base64 file upload); SDK callers can register files via stream_append but cannot push bytes through the agent API.,code review,BLOCKED-AUTH,,,,documented:blocked-auth
extractor-registry,Extractors,"discover_metadata(paths) -> dict  (used by mdf manifest discover, scan_folder)","As a researcher/agent, I want files auto-classified to the right extractor, so that metadata is pulled without manual selection.","Iterates EXTRACTORS = [PDFExtractor, TabularExtractor, JsonYamlExtractor] in order; the first whose can_extract(path) matches by suffix runs extract(), and results are deep-merged across files. First match wins per file; unmatched files contribute nothing.",files exist and readable,no,no,"extractors/registry.py:discover_metadata,EXTRACTORS",Extractor selection is purely by file extension (BaseExtractor.can_extract); a mislabeled file (e.g. JSON named .txt) is skipped silently with no metadata and no warning.,offline run,PASS,dispatches by extension via discover,,,documented+tested
extractor-tabular,Extractors,TabularExtractor.extract(path)  for .csv/.tsv/.xlsx/.xls,"As a researcher, I want column schemas and row counts pulled from spreadsheets/CSVs, so that my manifest documents the table structure.","For .xlsx/.xls uses pandas (returns {} if pandas/read fails) and records columns with dtypes + row_count under mdf.table_schema. For CSV/TSV uses csv.reader: first row = headers, counts remaining rows; returns columns (names only) + row_count under mdf.table_schema. Any read error returns {}.",file readable; pandas installed for Excel,no,no,extractors/tabular.py:TabularExtractor,"can_extract claims .tsv support but _extract_csv uses a default csv.reader (comma delimiter), so a real tab-separated file yields one giant malformed header column (tabular.py:42-49). | Each tabular file writes to the same mdf.table_schema key, so deep_merge across multiple CSVs in one discover run overwrites/merges into a single 'file' entry rather than preserving per-file schemas. | CSV path reads the whole file to count rows (sum over reader) — O(n) memory-light but slow for very large files; no row cap.",offline run,FAIL,.tsv parsed with comma reader -> entire tab header becomes ONE column 'a\tb\tc',Use a tab delimiter for .tsv files (extractors/tabular.py).,"PASS — tabbed.tsv -> 3 columns a,b,c.",fixed+retested:PASS
extractor-pdf,Extractors,PDFExtractor.extract(path)  for .pdf,"As a researcher, I want title/authors/DOI pulled from a paper PDF, so that my manifest is pre-filled from the publication.","Uses pypdf (returns {} if missing or load fails). Reads metadata title/author and scans page 1 text for a DOI regex. Emits DataCite-style dc.titles, dc.creators (author split on ';' or ', and '), and dc.relatedIdentifiers (DOI, IsPartOf). Returns {} if nothing found.",pypdf installed; readable PDF,no,no,"extractors/pdf.py:PDFExtractor,DOI_PATTERN","Author splitting on ';' or ', and ' is brittle: 'Doe, J., Smith, A.' becomes one creatorName 'Doe, J., Smith, A.' since plain commas are not delimiters (pdf.py:45-48). | DOI scanned only from page 1; DOIs in the footer/later pages are missed.",n/a,NOT-RUN,no PDF fixture this pass,,,documented+tested
extractor-json-yaml,Extractors,JsonYamlExtractor.extract(path)  for .json/.yml/.yaml,"As a researcher, I want the structure of JSON/YAML data files inferred, so that my manifest captures their schema.","Loads JSON or YAML (returns {} on read/parse error). Recursively infers a schema: dicts -> {key: schema}, lists -> [schema(first elem)] (or [] if empty), scalars -> python type name. Emits {mdf: {json_schema: {file, schema}}}.",file readable and parseable; PyYAML installed,no,no,extractors/json_yaml.py:JsonYamlExtractor,"List schema inferred from only the first element, so heterogeneous arrays are mis-typed (json_yaml.py:44-45). | All json/yaml files share the single mdf.json_schema key, so multiple files in one discover run collapse to one 'file' entry under deep_merge.",offline run,PASS-minor,json/yaml accepted by discover; contribution to summary is terse,,,documented+tested
pkg-install,Packaging,"pip install -e "".[extractors]""","As a new user, I want `pip install -e .` to install the modern mdf CLI, so that `mdf` works out of the box.",Installs mdf_agent (pyproject) and exposes the `mdf` entry point.,Python >=3.10,no,yes,pyproject.toml; setup.py(legacy),Root legacy setup.py (mdf_connect_client) coexists with pyproject (mdf_agent); old pip picks legacy setup.py and the editable install fails / installs the wrong package,clean-env install,FAIL,default `pip install -e .` picks legacy root setup.py; needs isolated PEP517 build / pyproject to win,Documented: legacy root setup.py shadows pyproject under old pip; modern PEP517 build installs mdf_agent cleanly.,,documented:open
pkg-deps-globus,Packaging,(import on any `mdf` command),"As a user on a clean machine, I want a fresh install to import successfully.",All `mdf` commands import cleanly.,none,no,no,pyproject.toml deps; auth/globus.py:21,"pin `globus-sdk>=3.0` allows 4.x, which removed `globus_sdk.tokenstorage` -> every command crashes with ModuleNotFoundError on a default fresh install",clean-env import,FAIL,fresh install pulled globus-sdk 4.8.1 -> ModuleNotFoundError: globus_sdk.tokenstorage; had to pin <4,"Pinned globus-sdk>=3.0,<4 in pyproject.toml (4.x removed globus_sdk.tokenstorage).",PASS — fresh import works on globus-sdk 3.65.0.,fixed+retested:PASS
global-version-flag,Global,mdf --version,"As a user, I want `mdf --version`, so that I can report which version I'm running.",Prints the version and exits 0.,none,no,no,cli/main.py:app callback,No --version option: `mdf --version` errors 'No such option' (exit 2),offline run,FAIL,`mdf --version` -> No such option (exit 2),Added --version/-V eager option to the main callback (cli/main.py).,PASS — `mdf --version` -> 'mdf 0.2.0'.,fixed+retested:PASS
global-help,Global,mdf --help / mdf (no args),"As a user, I want help and a first-run welcome, so that I can discover commands.",`mdf --help` lists visible commands in panels; no-config first run shows a welcome panel.,none,no,no,cli/main.py:main_callback,~19 hidden top-level aliases (cite/preview/doctor/whoami/watch/validate/update/pending/approve/reject/...) are not shown by --help yet README documents several as primary commands,offline run,PASS-minor,help renders; hidden-alias/README drift is the issue,,,documented+tested
global-service-targeting,Global,--service prod|staging|dev|local / MDF_API_URL,"As a user, I want to target prod/staging/dev/local, so that I can test safely.",--service selects the backend URL; unknown service should error cleanly.,none,no,yes,core/backend_client.py:_api_url_for_service; core/config.py:resolve_service,`mdf search --service bogus` raises an unhandled ValueError and prints a raw Python traceback instead of a friendly error,live run vs staging,FAIL,bogus service -> raw ValueError traceback,read_client() catches the unknown-service ValueError and prints a clean message instead of a traceback.,"PASS — bogus --service prints one-line error, no traceback.",fixed+retested:PASS
display-rich-markup,Global,(any command that renders a backend title/description/author),"As a user, I want titles/descriptions shown verbatim, so that bracketed text isn't silently dropped.",User-provided strings render exactly as stored.,none,no,yes,cli/main.py:show/_render_status_details/search/list tables,"Backend strings containing [..] were parsed as Rich markup and dropped (e.g. a '[mdf-agent test] X' title displayed as ' X'); data stored fine, display mangled",live run vs staging,FAIL,title '[BRACKET]...' displayed with the bracket segment dropped (Rich markup parsing of untrusted data),"Escape untrusted backend strings with rich.markup.escape in the show card, status detail, and search/list tables.",PASS — '[BRACKET] clone+escape retest' and 'Has [markup] in [the] title.' now render verbatim in mdf show.,fixed+retested:PASS
contract-staging-url,Backend contract,--service staging,"As a user, I want `--service staging` to hit the current staging backend, so that my commands reach the live deployment.",staging resolves to the new API Gateway URL.,none,no,yes,core/backend_client.py:_V2_API_URLS; README.md; examples/*,staging URL moved hjccjf3eqg -> 3xicgt0g7l (CONTRACT_CHANGES.md); prod URL change pending,live run vs NEW staging,PASS,config doctor/search/list/publish/delete all reach 3xicgt0g7l,Updated _V2_API_URLS['staging'] to the new API Gateway URL (+ README + examples/*); prod left for the forthcoming change.,"PASS — doctor shows 'staging (https://3xicgt0g7l...)', healthy; search/list/publish work.",fixed+retested:PASS
contract-acl-reads,Backend contract,mdf show/dataset cite/preview/related (ACL-gated),"As a dataset owner, I want my own restricted datasets readable when I'm logged in, while anonymous users only see public data, so that access matches the new ACL rules.","Logged-in users send their token (see public + owned/curated, incl restricted); anonymous users get a public-only client and a clean 404 for restricted, with no forced login.",none,partial,yes,cli/formatting.py:read_client; CONTRACT_CHANGES.md#2,read_client previously ignored a cached Globus login -> logged-in users hit ACL-gated reads anonymously (404 on their own restricted data),live run vs NEW staging,PASS,"anonymous: public-only + clean 404, no prompt; logged-in: token sent (verified read_client returns an authenticated client)",read_client now treats a cached Globus login as credentials (is_logged_in) so logged-in users authenticate without a new prompt; anonymous stays public-only.,PASS — anonymous public read + clean 404 (no prompt); logged-in read_client returns an authenticated (token-bearing) client.,fixed+retested:PASS
contract-semantic-auth,Backend contract,mdf search --semantic,"As a user, I want semantic search to use my login (now required), so that it works when authed and tells me to log in when not.","Logged-in: token sent, results (or a clear 'no snapshot' message). Anonymous: friendly 'Semantic search requires login. Run: mdf login'.",none,yes,yes,cli/main.py:search; CONTRACT_CHANGES.md#1,/search/semantic now 401s anonymously; client must send a token and surface a login hint instead of a misleading 'No results',live run vs NEW staging,PASS,anonymous -> 'requires login' hint; logged-in -> token sent (reached 'no snapshot' availability check),search --semantic flows through the now-auth-aware read_client; anonymous 401 is detected and shown as a clear login hint.,"PASS — anonymous: 'Semantic search requires login'; logged-in: token sent, 'no snapshot' message from new staging.",fixed+retested:PASS
contract-publish-failed,Backend contract,(status display for the new 'publish_failed' state),"As a submitter, I want the new publish_failed status shown clearly, so that I know an approved dataset isn't live yet.","publish_failed renders as a distinct red badge, is a terminal state for --watch, and shows a 'not yet live / will retry' next-step.",none,yes,yes,cli/formatting.py:_STATUS_STYLES; cli/main.py:_watch_submission/_render_status_details; CONTRACT_CHANGES.md#5,new status value publish_failed was unmapped (would render dim/unknown and watch would never terminate on it),unit,PASS,badge renders red; added to watch terminal states + status next-steps (live trigger not reproducible),"Mapped publish_failed in _STATUS_STYLES, added to _watch_submission terminal states, and added a next-step branch in _render_status_details.",PASS (unit) — badge + terminal-state + next-step verified.,fixed+retested:PASS
global-completion,Global,mdf --install-completion / --show-completion,"As a shell user, I want tab-completion, so that I can type commands faster.",Installs/prints shell completion script.,none,no,no,typer add_completion=True,,n/a,NOT-RUN,,,,documented+tested
